Nom,Quantité,Composant
"U1",1," Arduino Uno R3"
"D1, D4",2,"Rouge LED"
"D2",1,"Orange LED"
"D3, D5",2,"Vert LED"
"S1",1," Bouton-poussoir"
"R1, R2, R3, R4, R5, R6",6,"1 kΩ Résistance"
